Entity,Year,access_clean_perc,GDP,popn,Death_Rate_ASP
110,2011.0,0.6978978326800971,-0.4686174875062797,-0.13716216716532706,10.66611364
110,2012.0,0.723273091380703,-0.47133317744487213,-0.13716880523937336,9.358339659
110,2013.0,0.7494331518967915,-0.42885405314123215,-0.13717121136850285,8.093409841
110,2014.0,0.773500407571593,-0.4029956481268139,-0.13717353656958123,7.572673911
110,2015.0,0.78736523964512,-0.4005810165301748,-0.13717886992553516,7.133020589
110,2016.0,0.809601291083795,-0.37032155081080226,-0.1371881312527505,6.444348009
111,2000.0,1.0139113637144466,0.0,-0.14515039547005237,0.039117135
111,2001.0,1.0139113637144466,0.0,-0.14514975396720817,0.037466573
111,2002.0,1.0139113637144466,0.0,-0.14514910062123454,0.03528675
111,2003.0,1.0139113637144466,0.0,-0.14514842951056675,0.032924049
111,2004.0,1.0139113637144466,0.0,-0.14514772879207538,0.030613311
111,2005.0,1.0139113637144466,0.0,-0.1451470517598429,0.028645957
111,2006.0,1.0139113637144466,0.0,-0.1451463668321908,0.026911736
111,2007.0,1.0139113637144466,0.0,-0.14514570559079754,0.025078224
111,2008.0,1.0139113637144466,0.0,-0.14514504237554937,0.023393379
111,2009.0,1.0139113637144466,0.0,-0.14514432586621878,0.02203197
111,2010.0,1.0139113637144466,0.0,-0.14514356395822534,0.020930072
111,2011.0,1.0139113637144466,0.0,-0.14514274283458478,0.020078793
111,2012.0,1.0139113637144466,0.0,-0.1451418861815559,0.019271419
111,2013.0,1.0139113637144466,0.0,-0.14514101768539758,0.018508619
111,2014.0,1.0139113637144466,0.0,-0.1451401866924825,0.017728933
111,2015.0,1.0139113637144466,0.0,-0.1451393912289557,0.016820841
111,2016.0,1.0139113637144466,0.0,-0.14513870630130357,0.015663168
112,2000.0,-1.0310205668281947,-0.7039382886078446,-0.1404816976522044,187.3865713
112,2001.0,-1.002506100865658,-0.6992052127162525,-0.140437923471971,183.1731099
112,2002.0,-0.9718988300618343,-0.6902691287038463,-0.14039120824792883,176.132525
112,2003.0,-0.9423379616786545,-0.6755652187052881,-0.14034086705242574,168.1318798
112,2004.0,-0.9091146848232221,-0.6507505476622518,-0.14028633141524904,158.2819101
112,2005.0,-0.8792922158348812,-0.6334860872254545,-0.14022704668317035,150.0609319
112,2006.0,-0.8507777498723446,-0.6115107711022996,-0.14016304443786812,140.3498414
112,2007.0,-0.8089216530466028,-0.5827709289016562,-0.14009402860110662,127.5016864
112,2008.0,-0.7762215774014921,-0.5566399184938732,-0.1400188642063153,116.6243815
112,2009.0,-0.7471839102286338,-0.5674203188136593,-0.13993616955506052,109.0914352
112,2010.0,-0.7079438194545011,-0.5504448723106944,-0.13984515905309,99.84928844
112,2011.0,-0.671581335337138,-0.4914817645090578,-0.1397455682038464,90.97866209
112,2012.0,-0.6422820675591189,-0.4459652580857512,-0.1396383069544411,82.41787063
112,2013.0,-0.5993795683127336,-0.39938700931204735,-0.1395256294471758,73.39529473
112,2014.0,-0.5604010781437617,-0.36835670136890386,-0.1394104984382633,65.11497746
112,2015.0,-0.5211609873696289,-0.3661379355566734,-0.13929537927248026,59.62784005
112,2016.0,-0.48244409780581793,-0.3704324627547424,-0.13918104372709458,57.30258188
113,2000.0,-0.162506557694055,-0.2935212550411789,-0.14400277648960025,32.06113587
113,2001.0,-0.14053210686054074,-0.28903884356561804,-0.1440035423453035,31.03661415
113,2002.0,-0.11227924150316497,-0.27930521382063733,-0.14400314560046754,29.70811615
113,2003.0,-0.09108959248513337,-0.2656095945241803,-0.14400174416348482,28.68122489
113,2004.0,-0.05917431865550539,-0.23702793321288868,-0.14399965977270487,27.56673006
